Númer;Heiti;Einingar;Kennslumisseri;Námstig;
HBV502G;Hakkaþon verkefni;4;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71117120216&kennsluar=2021
TÖL107G;Vefforritun 1;8;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08715320216&kennsluar=2021
HBV004G;Starfsþjálfun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71113120216&kennsluar=2021
HBV601G;Hugbúnaðarverkefni 2;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08716120220&kennsluar=2021
HBV603G;Starfsnám í tölvunarfræði og hugbúnaðarverkfræði - grunnnám;24;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70973920220&kennsluar=2021
HBV201G;Viðmótsforritun;8;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08712520220&kennsluar=2021
TÖL101G;Tölvunarfræði 1;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08711120216&kennsluar=2021
TÖL309G;Tölvutækni og forritun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70973020216&kennsluar=2021
TÖL104G;Stærðfræðimynstur;8;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08711420216&kennsluar=2021
IÐN405G;Hönnun og framkvæmd tilrauna;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70999220220&kennsluar=2021
EÐL302G;Aflfræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=09213420216&kennsluar=2021
HBV501G;Hugbúnaðarverkefni 1;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08715120216&kennsluar=2021
STÆ107G;Línuleg algebra;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=09101420216&kennsluar=2021
HBV004G;Starfsþjálfun;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71113120220&kennsluar=2021
TÖL304G;Forritunarmál;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08713320216&kennsluar=2021
STÆ205G;Stærðfræðigreining II;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=09102120220&kennsluar=2021
STÆ405G;Töluleg greining;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=09104320220&kennsluar=2021
HBV401G;Þróun hugbúnaðar;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08714120220&kennsluar=2021
IÐN103G;Tæknistjórnun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70950420216&kennsluar=2021
EÐL201G;Eðlisfræði 2 V;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=09212120220&kennsluar=2021
TÖV202G;Greining og hönnun stafrænna rása - verklegt;2;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70027820220&kennsluar=2021
EÐL102G;Eðlisfræði 1 V;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=09211120216&kennsluar=2021
TÖV201G;Greining og hönnun stafrænna rása;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08312520220&kennsluar=2021
TÖL305G;Tölvunet og öryggi;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08713920216&kennsluar=2021
TÖL308G;Tölvuleikjaforritun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70673020216&kennsluar=2021
TÖL108G;Tölvur, stýrikerfi og tölvufærni;4;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71070120216&kennsluar=2021
TÖL303G;Gagnasafnsfræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08713120216&kennsluar=2021
TÖL403G;Greining reiknirita;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08716220220&kennsluar=2021
TÖL401G;Stýrikerfi;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08714520220&kennsluar=2021
TÖL602G;Málstofa í tölvunarfræði fyrir grunnnema;2;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70773320220&kennsluar=2021
TÖL607G;Keppnisforritun;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70973120220&kennsluar=2021
TÖL301G;Formleg mál og reiknanleiki;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08715220216&kennsluar=2021
TÖL501G;Frá hugmynd að veruleika;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70601520216&kennsluar=2021
TÖL203G;Tölvunarfræði 2;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08712920220&kennsluar=2021
TÖL205G;Tölvur, stýrikerfi og tölvufærni;4;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71070120220&kennsluar=2021
IÐN503G;Verkefnastjórnun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08213720216&kennsluar=2021
IÐN301G;Greining ferla og kerfa;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70950520216&kennsluar=2021
IÐN201G;Aðgerðir í skipuheildum;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70950720220&kennsluar=2021
HBV261L;Lokaverkefni;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91040720216&kennsluar=2021
HBV261L;Lokaverkefni;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91040720220&kennsluar=2021
HBV602G;Alþjóðleg markaðssetning tæknilausna;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70529920220&kennsluar=2021
HBV403G;Vefforritun 2;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70908020220&kennsluar=2021
STÆ302G;Stærðfræðigreining III;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=09103120216&kennsluar=2021
STÆ203G;Líkindareikningur og tölfræði;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=09102520220&kennsluar=2021
IÐN502G;Hagverkfræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08213320216&kennsluar=2021
STÆ104G;Stærðfræðigreining I;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=09101120216&kennsluar=2021
IÐN401G;Aðgerðagreining;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08213020220&kennsluar=2021
